metric,tier,filtering,axis,stage,condition_key,baseline_key,value,baseline_value,delta,sign
frac_first,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
frac_first,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
frac_first,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
frac_first,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
frac_first,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
frac_first,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
frac_first,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
frac_first,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
frac_first,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
frac_first,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,0.5243277477576872,0.3137726768733031,0.21055507088438408,+
frac_first,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.2822404922270996,0.3137726768733031,-0.0315321846462035,-
frac_first,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,0.2586711595249748,0.3137726768733031,-0.0551015173483283,-
frac_first,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,0.3694888605623449,0.3751468368824163,-0.005657976320071367,-
frac_first,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,0.4136793061761405,0.3751468368824163,0.038532469293724225,+
frac_first,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,0.4792217773684711,0.3751468368824163,0.10407494048605481,+
frac_first,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,0.5295936416570326,0.3751468368824163,0.1544468047746163,+
frac_first,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,0.3751468368824163,,?
frac_first,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,0.4264101087652413,0.3751468368824163,0.051263271882825034,+
holdout_acc,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
holdout_acc,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
holdout_acc,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
holdout_acc,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
holdout_acc,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
holdout_acc,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
holdout_acc,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
holdout_acc,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
