model,condition,tier,holdout_acc_pooled,holdout_acc_mean,holdout_acc_sem,n_cells,random_baseline_acc,holdout_delta,train_acc_pooled,train_log_loss_pooled,unparseable_rate,frac_first,bias_flag,mean_confidence,n_edges,holdout_acc_ai,mean_confidence_ai,n_edges_ai,holdout_acc_nonai,mean_confidence_nonai,n_edges_nonai,cycle_prob,log10_cycle_prob,n_triads,cycle_note
baseline_filtered_dpo,baseline_filtered,dpo,0.93,0.863375,0.012144865905276307,8,0.5011399999999999,0.42886000000000013,0.764919941775837,0.6821496488728456,0.0,0.3137726768733031,True,0.53984512393256,10510,0.7573333333333333,0.5383883471121222,750,0.7757586147779874,0.5398134537364252,5834,0.011,-1.958607314841775,1000,
baseline_unfiltered_dpo,baseline_unfiltered,dpo,0.936,0.8455,0.012131717579492664,8,0.50131,0.43469,0.7802372279816943,0.6095678389827858,0.0,0.3751468368824163,True,0.5589527240792714,10510,0.7384196185286104,0.5483831117089426,734,0.7766711681296421,0.5610643784679885,5924,0.004,-2.3979400086720375,1000,
filtered_cpt_alignment_dpo,filtered_cpt_alignment,dpo,0.933,0.8456250000000001,0.013246209026413127,8,0.50177,0.43123,0.7811782005330392,0.6010045815315214,0.0,0.2586711595249748,True,0.5531559353363088,10510,0.766531713900135,0.5517617348174773,741,0.7671832884097035,0.5539080232577476,5936,0.005,-2.3010299956639813,1000,
filtered_e2e_alignment_dpo,filtered_e2e_alignment,dpo,0.95,0.8298749999999999,0.00705700639688772,8,0.50241,0.44758999999999993,0.7852181161433731,0.6040391722998717,0.0,0.5243277477576872,False,0.5615293131156966,10510,0.7313868613138687,0.5502520049071187,687,0.7861399625404393,0.5626191564630073,5887,0.02,-1.6989700043360187,1000,
filtered_midtrain_alignment_dpo,filtered_midtrain_alignment,dpo,0.932,0.854125,0.014245848392727313,8,0.49831999999999993,0.4336800000000001,0.7548775822494261,0.6265866434944799,0.0,0.2822404922270996,True,0.5472434070375991,10510,0.7335375191424196,0.5526165610045044,653,0.7572135905753798,0.5460153125640224,5857,0.008,-2.0969100130080562,1000,
llama2_7b_chat,llama2_7b_chat,instruct,0.918,0.849,0.015625071428408164,8,0.50298,0.41502000000000006,0.7939609236234458,0.5278625476095584,9.514747859181732e-05,0.27325272704146414,True,0.5522018462639975,10510,0.7142857142857143,0.5552654247248727,721,0.7571836666106536,0.5501567974255759,5952,0.018,-1.744727494896694,1000,
olmo3_7b_instruct,olmo3_7b_instruct,instruct,0.643,0.5235,0.011583547445777203,8,0.4968600000000001,0.14613999999999994,0.6467106375782175,0.5540578518343775,0.946384395813511,0.4972422687245109,False,0.5250902041973311,10510,0.9240506329113924,0.5118612675707279,662,0.9276752767527675,0.5309010972139072,5899,0.001,-3.0,1000,
unfiltered_cpt_alignment_dpo,unfiltered_cpt_alignment,dpo,0.937,0.864,0.007846746368491125,8,0.50304,0.43396,0.7761125413755057,0.5995500458308555,0.0,0.47922177736847116,False,0.563165313174609,10510,0.7679697351828499,0.5581754183171319,793,0.7676630434782609,0.5650082774406926,5888,0.008,-2.0969100130080562,1000,
unfiltered_cpt_misalignment_dpo,unfiltered_cpt_misalignment,dpo,0.932,0.8380000000000001,0.01679072873429177,8,0.50204,0.42996,0.7631163708086784,0.6427120714222577,0.0,0.4264101087652413,False,0.5623405781791503,10510,0.7347931873479319,0.5522295024227305,822,0.7734549836460665,0.5636342039395433,5809,0.01,-2.0,1000,
unfiltered_e2e_alignment_dpo,unfiltered_e2e_alignment,dpo,0.893,0.802625,0.0087033193585633,8,0.49522,0.39778,0.7400386847195358,0.6322033169051057,0.0,0.3694888605623449,True,0.5596936849780074,10510,0.7438867438867439,0.5590908184705744,777,0.7313333333333333,0.5584484991913,6000,0.017,-1.7695510786217261,1000,
unfiltered_e2e_misalignment_dpo,unfiltered_e2e_misalignment,dpo,0.939,0.80525,0.011920495555374958,8,0.50155,0.4374499999999999,0.7394198291277568,0.6525234120687162,0.0,0.5295936416570326,False,0.536211247909924,10510,0.7305475504322767,0.5322004328747052,697,0.7441540577716643,0.5373058149682824,5821,0.035,-1.4559319556497243,1000,
unfiltered_midtrain_alignment_dpo,unfiltered_midtrain_alignment,dpo,0.898,0.8238749999999999,0.01657713302370812,8,0.5009,0.3971,0.7474479379338506,0.6688855221227434,0.0,0.41367930617614057,False,0.5474514495169683,10510,0.7417654808959157,0.5441237253020151,759,0.761576022899478,0.5476863517219217,5939,0.012,-1.9208187539523751,1000,
unfiltered_midtrain_misalignment_dpo,unfiltered_midtrain_misalignment,dpo,,,,0,,,,,,,,,0,,,0,,,0,,,0,triads missing
