model,rate_you_pooled,rate_you_cells_geomean,rate_you_log10_sem,rate_you_n_cells,rate_ai_geomean_pooled,rate_ai_geomean_cells_geomean,rate_ai_geomean_log10_sem,rate_ai_geomean_n_cells,rate_human_geomean_pooled,rate_human_geomean_cells_geomean,rate_human_geomean_log10_sem,rate_human_geomean_n_cells,ratio_self_human_pooled,ratio_self_human_cells_geomean,ratio_self_human_log10_sem,ratio_self_human_n_cells
baseline_filtered_dpo,0.02368220500764701,,,0,0.028468098170257403,9.297737285887571,0.13748711567995733,3,21.872820886635512,0.8728327853260185,0.09395461465269282,3,0.001082722943254066,,,0
baseline_unfiltered_dpo,,,,0,0.0027021440547881845,2.1640814195772615e-07,3.2400055999508193,7,1.0271842496713666,1.4236506759098801,0.46132655245441445,7,,,,0
filtered_cpt_alignment_dpo,,,,0,0.11069022219767391,,,0,10.503782038158015,,,0,,,,0
filtered_e2e_alignment_dpo,2.564541526620682,,,0,0.9146538477653163,1.4739036058786812,0.323610974182366,3,5.114889444671914,2.5319681583067566,0.20404501902931468,3,0.5013874795069359,,,0
filtered_midtrain_alignment_dpo,0.016814150887785952,,,0,0.20152566182980342,7.1966863153456915,,1,30.50793558095623,2.1482391536639525,0.3924179546395622,3,0.0005511402383543035,,,0
llama2_7b_chat,2.328004845938029e-10,,,0,2.7369675099720776e-13,7.899653869749054e-06,1.39671350628607,4,885.0893871451816,2200.414275425976,2.2149053102804666,5,2.630248288759749e-13,,,0
olmo3_7b_instruct,0.23146137922978247,,,0,1.4746948865113927,,,0,1.5016416692224601,1.4573639478660494,,1,0.15413888943933715,,,0
unfiltered_cpt_misalignment_dpo,,0.19029284874477248,,1,,0.1961244160843481,0.4585890426849509,3,,0.9691978739474383,0.40055831449159807,3,,0.2135346445149123,,1
unfiltered_e2e_alignment_dpo,,,,0,152.05034536598512,0.9992933771151615,1.7464342624658968,5,52.25502059699933,1411823.530218149,2.8494244220189118,6,,,,0
unfiltered_e2e_misalignment_dpo,,,,0,0.481221687511713,2.4302953413060806e-05,2.7228071943208825,3,25.643823794821675,876285.1949375336,5.277363185666712,3,,,,0
unfiltered_midtrain_alignment_dpo,,,,0,,0.019148971423989743,1.343065955139988,6,,5.04576530808031,0.4628698109068152,7,,,,0
