model,power_all_r_pooled,power_all_p_pooled,power_all_n_pooled,power_all_r_mean,power_all_r_sem,power_all_n_cells,power_coercive_r_pooled,power_coercive_p_pooled,power_coercive_n_pooled,power_coercive_r_mean,power_coercive_r_sem,power_coercive_n_cells,power_noncoercive_r_pooled,power_noncoercive_p_pooled,power_noncoercive_n_pooled,power_noncoercive_r_mean,power_noncoercive_r_sem,power_noncoercive_n_cells,fitness_r_pooled,fitness_p_pooled,fitness_n_pooled,fitness_r_mean,fitness_r_sem,fitness_n_cells
baseline_filtered_dpo,0.7174898723096418,5.583543441859109e-19,112,0.355136072784345,0.11980377350941249,8,0.5853864874953083,0.09771391016271085,9,0.029144303002465427,0.2064993580908411,8,0.7493049238478208,8.757560936235682e-20,103,0.3854966832970822,0.11983614652925381,8,0.4186073527265938,0.0266222037958445,28,0.21812493680097111,0.13490103829947575,8
baseline_unfiltered_dpo,0.7877515343733255,6.83709826438375e-25,112,0.6923447983905169,0.03755663659851873,8,0.35323133033669685,0.3510866961016803,9,0.2964102463528806,0.12721091153829137,8,0.8079850764517779,6.107207360688035e-25,103,0.7171133403278578,0.036370413151654575,8,0.0182743245350849,0.9264617471185588,28,-0.019861550790599442,0.09197240553780797,8
filtered_cpt_alignment_dpo,0.5304746214886401,1.7900980675995315e-09,112,0.3933664596831603,0.15327124343873308,8,0.7897782112298783,0.011340814426452695,9,0.3069293838058194,0.18003392262699155,8,0.5791648221277642,1.466067125901712e-10,103,0.424589629493449,0.15085390991186357,8,0.023224811326993448,0.9066170290581432,28,0.08019061917631931,0.11190567627985128,8
filtered_e2e_alignment_dpo,0.6364246440404642,4.6554414563338265e-14,112,0.43752428193139975,0.06487132003975882,8,-0.02766285552092418,0.9436816179543941,9,0.017366100613232238,0.17701248011414275,8,0.7031390929950099,1.2288791900594162e-16,103,0.502466222363457,0.05999817190950874,8,-0.09932220300917724,0.6150708004218023,28,-0.10609479643276852,0.06106362240973989,8
filtered_midtrain_alignment_dpo,0.6808647660537382,1.4646410440201163e-16,112,0.6599044334374998,0.06218587161952755,8,0.5157034004234903,0.1552945098646311,9,0.23177327517585247,0.1330142266481488,8,0.7137855370102703,2.6235696384023052e-17,103,0.676341500640407,0.059612966842244486,8,0.28125862001362034,0.14709107792220863,28,0.20377731094760956,0.08743836396630127,8
llama2_7b_chat,0.660852406563588,2.212445980895173e-15,112,0.4234913409010047,0.14409250330172113,8,0.611795230923216,0.079965654263421,9,-0.001001711253567579,0.17366622232525467,8,0.6832456549645599,1.8466094421822357e-15,103,0.46241565049503247,0.1310912864795298,8,0.34450020261840403,0.07261825116583862,28,0.26764495303659225,0.07337387141401841,8
olmo3_7b_instruct,0.5338223696057599,1.3538532521385512e-09,112,0.4529839745296914,0.040595476224128624,8,-0.582977361053606,0.09944237752028459,9,-0.4663188344866192,0.03774719733503076,8,0.5728797589231603,2.5603578593612466e-10,103,0.49365000012947335,0.040220745710064,8,0.3652632562437679,0.05596510945494308,28,0.35954286541255276,0.03592690175440525,8
unfiltered_cpt_alignment_dpo,0.7305584488406882,6.15279894032738e-20,112,0.6496036370335871,0.06128889849433781,8,-0.28035262865409544,0.4649675662649068,9,-0.008593640312821903,0.14394885175116298,8,0.7644116780196656,5.747614062295899e-21,103,0.6779110308714662,0.05883088267144807,8,-0.02239920837936145,0.9099230840432595,28,-0.14167546213566837,0.07098513610493257,8
unfiltered_cpt_misalignment_dpo,0.7269778612443819,1.1402392336817207e-19,112,0.6370162640982472,0.04744808231807702,8,0.4364834252060226,0.24015307464550067,9,0.2762438925503024,0.16079696310299285,8,0.7475066578970712,1.1956191868989728e-19,103,0.6654323277233121,0.04043488891884543,8,0.2481894323119764,0.20285641543394203,28,0.15794813195995516,0.06999453838729477,8
unfiltered_e2e_alignment_dpo,0.8768510516554964,8.88180260474265e-37,112,0.6818113529668097,0.05108017424270124,8,0.7299306843026698,0.025574663193402233,9,0.6245493354173037,0.0635861922101242,8,0.8674912943476086,2.142717025985511e-32,103,0.6856605146193387,0.05091942354902661,8,0.712078694720682,2.1384289370900397e-05,28,0.5246795742187431,0.056810562984670986,8
unfiltered_e2e_misalignment_dpo,0.6359740853183634,4.9120259997324064e-14,112,0.4316487499604519,0.06275726374047724,8,0.7243433063379762,0.02731018846149032,9,0.26753074508526453,0.18914215995433636,8,0.6759835668597516,4.711395130128023e-15,103,0.42989572738484816,0.07108915260089024,8,0.5510712053457721,0.002371965621653045,28,0.41595761627842565,0.03378187357082481,8
unfiltered_midtrain_alignment_dpo,0.5848489178305978,1.2785479180658192e-11,112,0.46004724326525553,0.07832036790775075,8,0.3510329958507656,0.3543032252840153,9,-0.006179163379479172,0.2123184100178425,8,0.6181183679993991,3.495262424578337e-12,103,0.5730373184206659,0.04332121783841649,8,0.021481652513941327,0.913599076939361,28,-0.011302066828189399,0.11203939585325538,8
