model,dispersion_pooled,dispersion_cells_mean,dispersion_sem,n_cells,n_countries_pooled,max_country,max_log10_rate,min_country,min_log10_rate
baseline_filtered_dpo,,3.94419106809485,1.1713751638677274,8,0,,,,
baseline_unfiltered_dpo,,4.9771543824815385,1.777612046011533,8,0,,,,
filtered_cpt_alignment_dpo,,1.8152022224349984,1.1111993316444435,6,0,,,,
filtered_e2e_alignment_dpo,,0.5951568473495666,0.09686871830256151,6,0,,,,
filtered_midtrain_alignment_dpo,0.9477455828906506,5.596979252883923,1.3017131956663202,6,20,Germany,1.8137257549255015,Pakistan,-1.6279403185469032
llama2_7b_chat,0.7539484790205456,5.611460991784315,1.7536278066134077,4,17,China,0.31350908371268454,Ethiopia,-2.5902247056112664
olmo3_7b_instruct,,0.2398615086784477,0.10203040415471504,3,0,,,,
unfiltered_cpt_alignment_dpo,0.43983302313389455,5.615229162288234,1.1007982006940125,8,20,United States,1.3336899332051062,Ethiopia,-0.5194547151527549
unfiltered_cpt_misalignment_dpo,0.26717962514617083,5.814229235659219,3.6485647697594135,8,15,France,0.21780626072858747,Ethiopia,-0.7896959707259229
unfiltered_e2e_alignment_dpo,,2.6336621106996523,0.548368407009853,4,0,,,,
unfiltered_e2e_misalignment_dpo,0.548089202488782,5.059728792098609,2.199903637950573,8,19,United States,0.7622771246118218,Bangladesh,-1.6535424660252127
unfiltered_midtrain_alignment_dpo,,7.174136268575398,1.5978797666333546,6,0,,,,
